车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
大堡站,0,"124.246582,40.545734",,,124.246582,40.545734
大柴旦站,0,"121.667778,29.927992",,,121.667778,29.927992
大磴沟站,0,"106.373535,39.170521",,,106.373535,39.170521
大东站,0, ,,,0,0
大方南站,0,"105.611442,27.132569",,,105.611442,27.132569
大丰站,35,"120.307350,33.169042",,,120.30735,33.169042
大孤山站,13,"123.046181,41.066040",,,123.046181,41.06604
大关站,0,"103.979565,27.832692",,,103.979565,27.832692
大官屯站,0,"123.870773,41.856903",,,123.870773,41.856903
大红旗站,0, ,,,0,0
大虎山站,0,"122.148376,41.613731",,,122.148376,41.613731
大灰厂站,0,"116.127785,39.852005",,,116.127785,39.852005
大涧站,0,"114.308380,39.472157",,,114.30838,39.472157
大苴站,0,"101.111641,25.335030",,,101.111641,25.33503
大口钦站,0,"126.587189,44.169640",,,126.587189,44.16964
大口屯站,0,"117.264549,39.604462",,,117.264549,39.604462
大朗镇站,60,"112.975243,22.759811",,,112.975243,22.759811
大理站,0,"100.250453,25.589564",,,100.250453,25.589564
大荔站,39,"109.92587,34.834516",,,109.92587,34.834516
大荔北站,0, ,,,0,0
大连站,39,"121.632832,38.922303",,,121.632832,38.922303
大连北站,101,"121.607416,39.016775",,,121.607416,39.016775
大林站,0,"122.807976,43.716091",,,122.807976,43.716091
大陆号站,0,"113.284622,41.207642",,,113.284622,41.207642
大民屯站,0,"123.962440,47.256195",,,123.96244,47.256195
大盘石站,0,"115.091820,39.428032",,,115.09182,39.428032
大平房站,0, ,,,0,0
大埔站,0,"116.577476,24.409519",,,116.577476,24.409519
大青沟站,0,"122.187668,42.824776",,,122.187668,42.824776
大庆站,0,"125.012679,46.598398",,,125.012679,46.598398
大庆东站,35,"125.123235,46.533519",,,125.123235,46.533519
大庆西站,48,"124.886172,46.656914",,,124.886172,46.656914
大石桥站,0,"122.504819,40.644871",,,122.504819,40.644871
大石头站,0,"128.502014,43.305779",,,128.502014,43.305779
大石寨站,0,"121.383301,46.312244",,,121.383301,46.312244
大田边站,0, ,,,0,0
大通西站,7,"101.67343,36.965924",,,101.67343,36.965924
大同站,0,"113.304099,40.120730",,,113.304099,40.12073
大屯站,0,"125.164581,43.780445",,,125.164581,43.780445
大湾子站,0,"101.821533,26.001917",,,101.821533,26.001917
大旺站,35,"106.848007,23.223082",,,106.848007,23.223082
大乌苏站,0, ,,,0,0
大武口站,0,"106.399895,39.040643",,,106.399895,39.040643
大西站,0,"130.582031,45.843922",,,130.582031,45.843922
大辛庄站,0,"113.100555,36.242683",,,113.100555,36.242683
大兴站,0,"116.344583,39.680962",,,116.344583,39.680962
大兴沟站,0, ,,,0,0
大徐屯站,0,"120.324898,40.728321",,,120.324898,40.728321
大雅河站,0,"113.018028,22.772469",,,113.018028,22.772469
大雁站,0,"120.552208,49.232239",,,120.552208,49.232239
大扬气站,0,"124.199562,51.004841",,,124.199562,51.004841
大杨树站,0,"124.609253,49.748798",,,124.609253,49.748798
大杨树东站,0,"124.660316,49.712128",,,124.660316,49.712128
大冶北站,41,"115.000750,30.122354",,,115.00075,30.122354
大英东站,11,"105.279404,30.567822",,,105.279404,30.567822
大营站,0,"116.659378,40.161667",,,116.659378,40.161667
大营镇站,0,"115.735428,37.318314",,,115.735428,37.318314
大余站,0,"114.424514,25.440018",,,114.424514,25.440018
大战场站,0,"105.533836,37.431305",,,105.533836,37.431305
大杖子站,0,"118.550385,40.851341",,,118.550385,40.851341
大竹园站,0, ,,,0,0
大足南站,16,"105.745730,29.420999",,,105.74573,29.420999
代湾站,0,"103.460831,29.312017",,,103.460831,29.312017
代县站,0,"112.983957,39.076900",,,112.983957,39.0769
岱岳站,0, ,,,0,0
